document_id,clean_text,sentiment
doc_0011,monument piec cinema pace perfect uniqu beauti thought provok beyond thrill unbeliev cinematographi flawless worldbuild back best ensembl perform blockbust sinc fellowship ring entir product game incred technic achiev everyon set clearli awar work someth special deni villeneuv love dune shine everi stun frame part adapt wonder improv everi way get better,positive
doc_0012,like first part second part visual stun though read book twice regret say unlik david lynch version eighti de villeneuv almost deliber destress mystic mythic core stori make impress view somehow left unsatisfi de villeneuv hand stori becom one polit grandstand part book relat hidden way fremen natur mission paul mother exampl second part scene paul atreid becom kwizatz haderach rather weak convinc left essenc movi becom bit empti visual experi kind secular profan dune still nice also bit disappoint,neutral
doc_0013,biggest problem movi one crept hollywood last decad one seem realli acknowledg actor mumbl line low tone turn volum full blast charact yell audienc feel actor power realli realiti bore wooden mention ear fall sudden explos mumbl gone day actor given role base talent could actual talk normal clear tone like georg clooney overal movi look amaz help peopl overlook bore crap first hour high rate review fan book fan visual clearli go movi entertain act zendaya dave bautista austin butler florenc pugh movi pick razzi award bad act assum peopl realis empti blank look face involv act time critic social medium review took head lower back region stop blow averag movi attempt turn classic clearli,negative
doc_0014,kind movi imposs justic talk kind experi never thought would get movi prove wrong movi take aspect first movi improv upon almost everi way possibl alreadi write book greatest sequel time everyth movi top notch denni villeneauv prove master sci fi movi filmmak gener demonstr power achiev filmmak beg watch biggest best screen find experi stick forev thought real blockbust dead wrong cinemat experi crave gonna watch movi mayb gonna read book,neutral
doc_0015,perfect sequel deni part one accomplish main plot point book deliv stellar perform visual film dream film go one best sci fi fantasi deserv laurel gift longest time franchis singular movi captiv way stori charact planet dune live rent free mind would disservic see film imax soundscap creat soundtrack han zimmer immers feel like part everi scene movi masterpiec storytel,positive
doc_0016,got earli access show absolut incred see imax charact act screenplay world build storytel score action sequenc cinematographi everyth make cinemat masterpiec deni villeneuv provid masterclass filmmak cast continu perfect way great new add on timothe chalamet believ raw real paul atried flawless lead zendaya rebecca ferguson javier bardem josh brolin fantast per usual stellan skarsgard dave bautista continu evil austin butler steal show feyd rautha florenc pugh christoph walken solid fresh cast overal dune part two inspir visual stun sci fi spectacl incred collis myth adventur destini galact scale fantast piec filmmak rare seen modern day cinema,positive
doc_0017,avid movi fan see plenti movi mani averag mani bad good great use word great scarc dune better great oppenheim great movi rush back see second time near futur dune would see tomorrow stori par star war legaci act par oppenheim sfx better two movi mention combin movi finish half hour still want emot ride like noth rememb movi rememb best movi year think best movi gener akin saw wish could give star,positive
doc_0018,wait mani mani year movi calib year old femal grandmoth retir best movi ever seen tend like si fi movi went along husband favor length movi even notic u long enough honest want end done yet know long take sequel come along know still planet see hope hope justic last time rememb movi good high school miss opportun see movi theatr crazi good,positive
doc_0019,movi hour long say hour probabl give solid lot went film could write review full thing like given rate make possibl overr hollywood film centuri state minus dune part full long dialogu heavi scene mani charact much worship timoth e chalamet charact paul get chosen one came clich zendaya cool calib actor hold movi hour rbf entir movi also build bad guy die last two film big let uncl charact baron aw film get kill second nephew glossu time spent fall die christoph walken terribl miscast emperor weak charact sandworm cool first time amount screen time get never chang get old awhil good film revisit fall asleep cool soundtrack great cinematographi costum design film realli much dune proven difficult stori captur film one done right yet,negative
doc_0020,dune success put big screen good adapt pas fli color charact arc paul atreid fascin complex love delv psych motiv preval movi reluct take messian mantl know lie thing go accord vision becom moral complex charact religi fantac take hold fremen interpret kind charact paul becom tyrant path religion paul take hold bene gesserit lie exploit faith lead question one truli trust arm flesh frailti man leader come gone throughout histori bring differ ideal one moral come play agenc vital human experi man alway falter lead question higher power role god implic get stori like hollywood anymor happi end dune one ponder moral complex book movi made contempl mani thing deepli appreci stori like other alreadi applaud effect act script go much say best look movi ever seen everyth look live fight scene choreograph master actor gave outstand perform han zimmer give mesmer soundtrack frank herbert vision honor master well done deni villeneuv,positive
doc_0021,movi problem part one edit terribl scene connect start assign stori branch immedi cut anoth complet new set task charact motiv interest idea complet noth get resolv dialogu horrend movi appeal fan book stori disjoint casual follow read book understand anyth happen movi realli pretti max visual categori sound hit miss plot pace charact bad masterpiec sorri,neutral
doc_0022,enjoy movi say good dark knight huge overstat enough good thing alreadi said movi point neg viallian feel quit weak bland never seem pose real threat bautista charact joke baron threaten new villian call good joker peopl also feel gener new abil paul get also feel conveni easi get charact chang lot instantli jessica suddenli becom complet differ charact goe paul see may rush movi format pace could better paul prophesi prophet happen surpris etc way think better avoid overdon struggl hero clich prepar feel ten paul never realli felt reason feel ten overal solid technic masterpiec look cinematographi etc movi overal anoth good watch well worth time complet fine,positive
doc_0023,bad dialogu clunki robot much name use shoutout live script read princess constant exposit dump spoon fed ensur digest babi food unlik first illog fight attack mine structur lose men launch bazooka thopter use energi beam weapon instantli destroy giant structur beat emperor bene gesserit use voic paul fremen emperor get choos champion fight paul done hell fremen exact time abl mount like worm exact time use worm attack harkonnen never see singl dismount pointless scene wanna fremen walk back never show complet task never show accept fremen accomplish movi play like super long episod poorli written tv seri tri cram much book possibl onto screen complet unlik first,negative
doc_0024,dune part two absolut brilliant better part one pretti much everi way possibl dune part one setup dune part two truli real deal dune part two paul tri gain trust fremen begin movi mani believ paul messiah also mani believ anyway final act movi far best part includ lot action breathtak visual act also incred act first movi alreadi pretti great act one even better also love paul charact develop one see go duke son becom know hero see futur incred watch overal dune part two truli amaz definit best movi far,positive
doc_0025,saw earli screen film tilton squar theatr new jersey complet blown away open scene way credit never felt bore impress hour minut film want write much prefer anyon read slightest bit interest film go see immedi releas worldwid march st grab ticket would highli recommend see imax possibl almost entireti movi film imax camera movi absolut visual spectacl probabl go win coupl oscar sound edit pictur etc fight scene choreograph fantast like state begin see film,positive
doc_0026,watch imax one greatest movi experi ever everyth part one done even better part two stori much interest outfit uniqu realli well made whenev thought start move littl slow someth insan happen instantli drawn back world dune deni remad expand much shot differ world breathtak last hour movi far best made cinema awhil action good last fight awesom well fought well atreid,positive
doc_0027,dune part two simpli deni villeneuv magnum opu filmographi love director work sinc blade runner arriv excel job place vision first dune villeneuv crank direct time structur set visual sound stori craft way hard put word due everyth came togeth miracul act also top notch timoth e chalamet particular unbeliev phenomen zendaya great job well austin butler rebecca ferguson florenc pugh also excel deni never let experi pure weight film present astound narr rich cinematographi epic stori mesmer action sequenc make seat rumbl watch big screen quit hand thrill moment still idea came good end deni villeneuv truli sorcer sci fi genr everi frame detail film captiv hell differ slightest dune part two made leav theater feel inspir much take away masterpiec definit favorit movi year bring dune part three fast possibl,positive
doc_0028,movi visual masterpiec studi decad color vivid light gorgeou cgi mostli indistinguish realiti said despit almost hour long stori felt huge condens felt like scene give bare minimum understand happen elabor noth felt like want immers uniqu complex world give everi set minut time hop straight next exampl train paul never see learn ride sandworm succe feel triumphant would otherwis harkonnen also much less intimid screentim compris tri fail farm spice arraki defeat paul fremen end without much difficulti put fight lastli know sourc ecolog messag import book emmit complet film fremen speak bring green back arraki ever see part may limit format one must adapt book full complex lore either trilog even serial may better option get time explain everyth know third film come base book anymor read book believ believ film stand two foot one leg long slender bare minimum muscl requir stand stand nonethelss,neutral
doc_0029,movi accomplish promis set absolut mesmer experi love first movi thought would imposs difficult task surpass deni villeneuv proven promis sci fi director age find instal seri pick pace quickli reach peak near end film contrari first film action pack middl dune part two display relax tone start middl movi howev mood shift match occas final leav somewhat distraught consequ charact choic sure lead path cannot return cinematographi greig fraser fantast mixtur naturalist style sci fi genr lead ground univers still retain wonder whimsic aspect scienc fiction decis planet charact portray demonstr care attent paid audienc interpret understand harkonnen emperor fremen bene gesserit remnant hous atreid one look way shown score sublim han zimmer prove definit motion pictur compos abil craft larger life score abil understand differ charact cultur present film noth short perfect recur theme motif present throughout movi pair visual perform also incred form modern day masterpiec craft meticul master respect field rebecca ferguson timoth e chalamet javier bardem austin butler zendaya give wonder perform first three standout overal movi deserv univers prais receiv might interest even enjoy first instal seri,positive
doc_0030,seen first chalamet dune seen david lynch one person think much better think cinematographi beauti dpt act great accuraci book bore make wonder goal make movi besid money duh modern interpret dune deep dive charact dynam stori would better appreci improv cgi beat opinion might controversi despit well made movi think remark lynch dune bizarr belov retro sci fi vibe way memor charact design left impress accuraci book movi also divis topic unless author make movi themself expect perfect duplic recommend unless die hard dune fan definit skip one,positive
doc_0031,quiet embrac ink page stori unfold timeless sage len filmmak artistri essenc soar masterpiec see think deni villeneuv made visual stun epic stori movi ever made power stori movi ever told last year movi scale result piec film piec art infin war endgam look like superhero kid entertain type movi adult version star war dune becom intrigu fascin admir movi world alway get excit right marvel univers star war univers let maestro deni villeneuv handl gonna make anoth one glad abl say think dune part two masterpiec felt awe feel pure fascin movi like quit long time noth complain stori visual film felt perfect cannot describ incred visual film mesmer sound score film amaz perform prop timoth e chalamet surpris get nomin best actor oscar next year total deserv absolut need consid dialogu great scene one anoth felt import worth action scene best seen perfect stabilis action narrat scene well done hour minut pure grand epic film fill stun visual could possibl imagin intrigu stori tell kept go whole durat good epic great master other strength master true power overal could see deni villeneuv dune final get influenti recognit year specif part two also one greatest sequel ever made dune part two easili best film year far suppos deliv,positive
doc_0032,time movi releas describ one best sequal ever made feel bad say still good movi inferior first part read book watch first part entertain know director like deni villeneuev also make next part expect increas multipl time understand book make accord sourc materi still feel amaz thrill like first movi biggest reason hire writer first movi eric roth damn good writer written movi like forrest gump curiou case benjamin button etc know reason movi sure thing might differ board chang color palett also first movi littl bluish first part suit chang look quit differ goe slow stori tell becom realli fast pace last minut say bad movi expect watch first part level behaviour charact also one dimension explor properli mayb fill mani thing hour time know extend version hour would work movi much add explain know would never come rest act music cinematographi good like first part like left feel someth miss let hope next part would much thrill one believ deni villeneuev one best director time watch whatev make,positive
doc_0033,sci fi enthusiast approach latest dune movi sen anticip hope swept away grandeur depth howev encount left feel underwhelm disconnect film seem lack spark ignit imagin opt instead plod pace fail engag fulli perhap weari misalign sourc materi struggl find moment worth revisit credit roll suppos best scene seem blur togeth haze monotoni leav search standout moment two cling appreci effort filmmak ambit behind bring belov stori life help feel overwhelm hype surround adapt somewhat unwarr despit visual spectacl star stud cast dune left yearn deeper connect stronger emot reson simpli present end film may find audienc among die hard fan franchis particular affin theme fell short lofti expect set predecessor fail leav last impress,neutral
doc_0034,would great filmmak need put cheap romanc film mani filler scene jump throughout stori year old wathc sci fi first time would given opinion realli interest stori dune dont watch movi want read book kinda ruin imagin drug addict attitud euphoria alway come mind mean act alway gestur know euphoria relev differ zendaya act tie hair think,positive
doc_0035,probabl imposs creat good dune movi book realli complex mani way said first movi captur essenc dune well could kept true plot part second movi howev kill charact dynam stilgar comed relief decid leav alia one import charact book movi relationship chani paul shallow even left son die end scene underwhelm line paul book will ignor issu never read book still great movi authent dune experi still remain frank herbert book,positive
doc_0036,watch advanc screen blown away part dune continu seamlessli part master soundtrack action scene act movi flew despit almost three hour pace incred well done noth felt fast slow cgi incred realist charact portray well lead actor chemistri charact felt real noth felt fake forc truli difficult find movi contain everyth flawless screenplay write sound act pace dune one best movi sure,positive
doc_0037,paul prove chani fremen dream becom vivid one path lead destruct mayb even loss chani think anticip film quit much spellbound first count day follow chanc got see day earli start finish captiv epic spectacl drew complet dri arid world see paul grow eye end film differ boy met start timoth e chalamet outstand show grit depth make charact utterli compel austin butler feyd rautha revel one menac villain keep guess everi turn makeup work awesom honestli fault singl perform cast inspir back marvel script visual incred breathtak locat invent camera work jaw drop special effect music spot well rippl sand paul dream want download instantli thought might toughest movi franchis given much happen start finish immers excit utterli wonder film epic scale intim charact develop one best seen long time,positive
doc_0038,see christoph walken embodi charact saw christoph walken christoph walken might person earth find florenc pugh epitom definit bland could hire someon found walk random mall play irulan also movi feel like episod conclus two part movi assum set continu dune novel pace climax end feel wonki best explan give time cinemat need otherwis film entertain length lot good cinematographi music etc,positive
doc_0039,watch pre premier part two dune good adapt book total expect end movi stray away book made bit sad honest especi part import book storylin fact sister paul born yet film came conclus book littl sister kill baron film paul take honor also fact chani support paul take hand emperor daughter child yet actual goe way make hard get good start inevit third movi come movi great experi though action great storytel well person wish stick book till end part one definit follow book part two also till midst film still strongli recommend watch must see movi rank one alltim favorit alreadi,positive
doc_0040,want love movi despit confus state throughout film enjoy see visual lack dialogu work although aspect would lessen learn charact world get much chanc within movi despit uninvolv dune world charact still honest fault script edit overarch plot scene happen rather lead scene via emot journey first hour back forth random test like mani charact simpli appear movi deep runtim includ main villain discern trait evil sake charact appear briefli much motiv everyon strip script see abund amount screen time someon ride worm larg battl abrubtli end littl setup need larg segment screen time involv nuke could told nuke nuke scene feel standout filler sequenc perhap overshadow dozen moment filler could replac plot would challeng praiser film explain everyth perfect austin butler charact great one dimension battl best mean snippet battl got one hard tell score amaz oh unbeliev overus bong nois randomli appear tepid scene even twist end foreshadow first minut film spectacl emot payoff number one prais peopl use describ great dune cinematographi leg great movi stand foundat although direct technic look dune epic write edit faulti mayb upon rewatch would like sinc might understand detail get detail sourc still nowher good could everyon seem think,positive
doc_0041,movi good went back theater next day watch never done never watch movi twice theater get enough film feel like need go watch rd time visual sound stun cast good ask better perform whole dune univers magic intrigu captiv thrill fan scienc fiction good lore deep detail stori behind movi love letter absolut amaz film time number movi ever seen year old age planet,positive
doc_0042,saw dune xd screen sound system visual dune jaw drop sound intens time loud drone interest see movi worth see big screen though fulli engag hour minut run time would call dune masterpiec charact act emot flat also felt romanc paul chani convinc stori reach climax care charact also think movi spent littl time setup fremen get oppress harkonnen sacrific lost freedom shown viewer understand emot motiv full assault harkonnen austin butler intens movi illustr act rang hope recogn perform littl nit picki critic address fremen eat term world build sort detail necessari make world believ convinc human could surviv arraki way could grow crop rais anim eat synthet food planet also sustain gigant worm huge beast would consum million calori day avail show detail sustain life dri planet would help believ voic control thing done bene gesserit sort dumb know book part book hold time,neutral
doc_0043,film pretti consist sen look amaz sound score top tier han zimmer action sequenc good actual happen often actor good actor straight bore film core understand peopl write review call masterpiec peak film make believ could actual entertain straight dead stori dead dialogu seem whole movi piec dialogu actual rememb somewhat entertain timothi chalamet said josh brolin recognis footstep miss anyth sure noth wait end seem peopl lie want seem smart acclaim novel made movi past timothi chalamet groupi big fan actor work want well refus believ anyon found plot movi good thu make entertain like made lack stori amaz stori tell action like mad max furi road anyon think reason peopl would realli rate movi even close,positive
